일자,지역,자치구,최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),환자수,풍속(m/s)
2025-07-29,서울특별시,종로구,38.2,36.7,32.2,27.6,64.0,1,
2025-07-29,서울특별시,중구,38.2,36.7,32.2,27.6,64.0,0,
2025-07-29,서울특별시,용산구,38.2,36.7,32.2,27.6,64.0,1,
2025-07-29,서울특별시,성동구,38.2,36.7,32.2,27.6,64.0,0,
2025-07-29,서울특별시,광진구,38.2,36.7,32.2,27.6,64.0,1,
2025-07-29,서울특별시,동대문구,38.2,36.7,32.2,27.6,64.0,2,
2025-07-29,서울특별시,중랑구,38.2,36.7,32.2,27.6,64.0,1,
2025-07-29,서울특별시,성북구,38.2,36.7,32.2,27.6,64.0,2,
2025-07-29,서울특별시,강북구,38.2,36.7,32.2,27.6,64.0,1,
2025-07-29,서울특별시,도봉구,38.2,36.7,32.2,27.6,64.0,1,
2025-07-29,서울특별시,노원구,38.2,36.7,32.2,27.6,64.0,1,
2025-07-29,서울특별시,은평구,38.2,36.7,32.2,27.6,64.0,2,
2025-07-29,서울특별시,서대문구,38.2,36.7,32.2,27.6,64.0,1,
2025-07-29,서울특별시,마포구,38.2,36.7,32.2,27.6,64.0,2,
2025-07-29,서울특별시,양천구,38.2,36.7,32.2,27.6,64.0,1,
2025-07-29,서울특별시,강서구,38.2,36.7,32.2,27.6,64.0,1,
2025-07-29,서울특별시,구로구,38.2,36.7,32.2,27.6,64.0,0,
2025-07-29,서울특별시,금천구,38.2,36.7,32.2,27.6,64.0,1,
2025-07-29,서울특별시,영등포구,38.2,36.7,32.2,27.6,64.0,0,
2025-07-29,서울특별시,동작구,38.2,36.7,32.2,27.6,64.0,1,
2025-07-29,서울특별시,관악구,38.2,36.7,32.2,27.6,64.0,1,
2025-07-29,서울특별시,서초구,38.2,36.7,32.2,27.6,64.0,1,
2025-07-29,서울특별시,강남구,38.2,36.7,32.2,27.6,64.0,0,
2025-07-29,서울특별시,송파구,38.2,36.7,32.2,27.6,64.0,1,
2025-07-29,서울특별시,강동구,38.2,36.7,32.2,27.6,64.0,0,
2025-07-03,서울특별시,종로구,33.5,32.0,29.2,26.5,75.5,0,
2025-07-03,서울특별시,중구,33.5,32.0,29.2,26.5,75.5,0,
2025-07-03,서울특별시,용산구,33.5,32.0,29.2,26.5,75.5,0,
2025-07-03,서울특별시,성동구,33.5,32.0,29.2,26.5,75.5,0,
2025-07-03,서울특별시,광진구,33.5,32.0,29.2,26.5,75.5,1,
2025-07-03,서울특별시,동대문구,33.5,32.0,29.2,26.5,75.5,1,
2025-07-03,서울특별시,중랑구,33.5,32.0,29.2,26.5,75.5,0,
2025-07-03,서울특별시,성북구,33.5,32.0,29.2,26.5,75.5,0,
2025-07-03,서울특별시,강북구,33.5,32.0,29.2,26.5,75.5,0,
2025-07-03,서울특별시,도봉구,33.5,32.0,29.2,26.5,75.5,0,
2025-07-03,서울특별시,노원구,33.5,32.0,29.2,26.5,75.5,0,
2025-07-03,서울특별시,은평구,33.5,32.0,29.2,26.5,75.5,0,
2025-07-03,서울특별시,서대문구,33.5,32.0,29.2,26.5,75.5,0,
2025-07-03,서울특별시,마포구,33.5,32.0,29.2,26.5,75.5,0,
2025-07-03,서울특별시,양천구,33.5,32.0,29.2,26.5,75.5,0,
2025-07-03,서울특별시,강서구,33.5,32.0,29.2,26.5,75.5,0,
2025-07-03,서울특별시,구로구,33.5,32.0,29.2,26.5,75.5,0,
2025-07-03,서울특별시,금천구,33.5,32.0,29.2,26.5,75.5,0,
2025-07-03,서울특별시,영등포구,33.5,32.0,29.2,26.5,75.5,0,
2025-07-03,서울특별시,동작구,33.5,32.0,29.2,26.5,75.5,0,
2025-07-03,서울특별시,관악구,33.5,32.0,29.2,26.5,75.5,0,
2025-07-03,서울특별시,서초구,33.5,32.0,29.2,26.5,75.5,0,
2025-07-03,서울특별시,강남구,33.5,32.0,29.2,26.5,75.5,0,
2025-07-03,서울특별시,송파구,33.5,32.0,29.2,26.5,75.5,1,
2025-07-03,서울특별시,강동구,33.5,32.0,29.2,26.5,75.5,0,
2025-07-04,서울특별시,종로구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-04,서울특별시,중구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-04,서울특별시,용산구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-04,서울특별시,성동구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-04,서울특별시,광진구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-04,서울특별시,동대문구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-04,서울특별시,중랑구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-04,서울특별시,성북구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-04,서울특별시,강북구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-04,서울특별시,도봉구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-04,서울특별시,노원구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-04,서울특별시,은평구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-04,서울특별시,서대문구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-04,서울특별시,마포구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-04,서울특별시,양천구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-04,서울특별시,강서구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-04,서울특별시,구로구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-04,서울특별시,금천구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-04,서울특별시,영등포구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-04,서울특별시,동작구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-04,서울특별시,관악구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-04,서울특별시,서초구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-04,서울특별시,강남구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-04,서울특별시,송파구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-04,서울특별시,강동구,31.5,30.0,27.9,25.7,77.0,0,
2025-07-05,서울특별시,종로구,33.8,32.3,29.1,26.0,72.9,0,
2025-07-05,서울특별시,중구,33.8,32.3,29.1,26.0,72.9,0,
2025-07-05,서울특별시,용산구,33.8,32.3,29.1,26.0,72.9,0,
2025-07-05,서울특별시,성동구,33.8,32.3,29.1,26.0,72.9,0,
2025-07-05,서울특별시,광진구,33.8,32.3,29.1,26.0,72.9,0,
2025-07-05,서울특별시,동대문구,33.8,32.3,29.1,26.0,72.9,0,
2025-07-05,서울특별시,중랑구,33.8,32.3,29.1,26.0,72.9,0,
2025-07-05,서울특별시,성북구,33.8,32.3,29.1,26.0,72.9,0,
2025-07-05,서울특별시,강북구,33.8,32.3,29.1,26.0,72.9,1,
2025-07-05,서울특별시,도봉구,33.8,32.3,29.1,26.0,72.9,0,
2025-07-05,서울특별시,노원구,33.8,32.3,29.1,26.0,72.9,0,
2025-07-05,서울특별시,은평구,33.8,32.3,29.1,26.0,72.9,0,
2025-07-05,서울특별시,서대문구,33.8,32.3,29.1,26.0,72.9,1,
2025-07-05,서울특별시,마포구,33.8,32.3,29.1,26.0,72.9,0,
2025-07-05,서울특별시,양천구,33.8,32.3,29.1,26.0,72.9,0,
2025-07-05,서울특별시,강서구,33.8,32.3,29.1,26.0,72.9,0,
2025-07-05,서울특별시,구로구,33.8,32.3,29.1,26.0,72.9,0,
2025-07-05,서울특별시,금천구,33.8,32.3,29.1,26.0,72.9,0,
2025-07-05,서울특별시,영등포구,33.8,32.3,29.1,26.0,72.9,0,
2025-07-05,서울특별시,동작구,33.8,32.3,29.1,26.0,72.9,0,
2025-07-05,서울특별시,관악구,33.8,32.3,29.1,26.0,72.9,1,
2025-07-05,서울특별시,서초구,33.8,32.3,29.1,26.0,72.9,0,
2025-07-05,서울특별시,강남구,33.8,32.3,29.1,26.0,72.9,0,
2025-07-05,서울특별시,송파구,33.8,32.3,29.1,26.0,72.9,0,
2025-07-05,서울특별시,강동구,33.8,32.3,29.1,26.0,72.9,0,
2025-07-01,서울특별시,종로구,33.3,31.8,29.0,26.2,78.6,0,
2025-07-01,서울특별시,중구,33.3,31.8,29.0,26.2,78.6,0,
2025-07-01,서울특별시,용산구,33.3,31.8,29.0,26.2,78.6,0,
2025-07-01,서울특별시,성동구,33.3,31.8,29.0,26.2,78.6,0,
2025-07-01,서울특별시,광진구,33.3,31.8,29.0,26.2,78.6,0,
2025-07-01,서울특별시,동대문구,33.3,31.8,29.0,26.2,78.6,0,
2025-07-01,서울특별시,중랑구,33.3,31.8,29.0,26.2,78.6,0,
2025-07-01,서울특별시,성북구,33.3,31.8,29.0,26.2,78.6,0,
2025-07-01,서울특별시,강북구,33.3,31.8,29.0,26.2,78.6,0,
2025-07-01,서울특별시,도봉구,33.3,31.8,29.0,26.2,78.6,0,
2025-07-01,서울특별시,노원구,33.3,31.8,29.0,26.2,78.6,0,
2025-07-01,서울특별시,은평구,33.3,31.8,29.0,26.2,78.6,0,
2025-07-01,서울특별시,서대문구,33.3,31.8,29.0,26.2,78.6,0,
2025-07-01,서울특별시,마포구,33.3,31.8,29.0,26.2,78.6,0,
2025-07-01,서울특별시,양천구,33.3,31.8,29.0,26.2,78.6,0,
2025-07-01,서울특별시,강서구,33.3,31.8,29.0,26.2,78.6,0,
2025-07-01,서울특별시,구로구,33.3,31.8,29.0,26.2,78.6,1,
2025-07-01,서울특별시,금천구,33.3,31.8,29.0,26.2,78.6,0,
2025-07-01,서울특별시,영등포구,33.3,31.8,29.0,26.2,78.6,0,
2025-07-01,서울특별시,동작구,33.3,31.8,29.0,26.2,78.6,1,
2025-07-01,서울특별시,관악구,33.3,31.8,29.0,26.2,78.6,1,
2025-07-01,서울특별시,서초구,33.3,31.8,29.0,26.2,78.6,0,
2025-07-01,서울특별시,강남구,33.3,31.8,29.0,26.2,78.6,0,
2025-07-01,서울특별시,송파구,33.3,31.8,29.0,26.2,78.6,0,
2025-07-01,서울특별시,강동구,33.3,31.8,29.0,26.2,78.6,0,
2025-07-02,서울특별시,종로구,32.4,30.9,28.9,26.8,76.3,0,
2025-07-02,서울특별시,중구,32.4,30.9,28.9,26.8,76.3,0,
2025-07-02,서울특별시,용산구,32.4,30.9,28.9,26.8,76.3,0,
2025-07-02,서울특별시,성동구,32.4,30.9,28.9,26.8,76.3,0,
2025-07-02,서울특별시,광진구,32.4,30.9,28.9,26.8,76.3,0,
2025-07-02,서울특별시,동대문구,32.4,30.9,28.9,26.8,76.3,0,
2025-07-02,서울특별시,중랑구,32.4,30.9,28.9,26.8,76.3,0,
2025-07-02,서울특별시,성북구,32.4,30.9,28.9,26.8,76.3,1,
2025-07-02,서울특별시,강북구,32.4,30.9,28.9,26.8,76.3,0,
2025-07-02,서울특별시,도봉구,32.4,30.9,28.9,26.8,76.3,0,
2025-07-02,서울특별시,노원구,32.4,30.9,28.9,26.8,76.3,0,
2025-07-02,서울특별시,은평구,32.4,30.9,28.9,26.8,76.3,0,
2025-07-02,서울특별시,서대문구,32.4,30.9,28.9,26.8,76.3,0,
2025-07-02,서울특별시,마포구,32.4,30.9,28.9,26.8,76.3,1,
2025-07-02,서울특별시,양천구,32.4,30.9,28.9,26.8,76.3,0,
2025-07-02,서울특별시,강서구,32.4,30.9,28.9,26.8,76.3,0,
2025-07-02,서울특별시,구로구,32.4,30.9,28.9,26.8,76.3,0,
2025-07-02,서울특별시,금천구,32.4,30.9,28.9,26.8,76.3,0,
2025-07-02,서울특별시,영등포구,32.4,30.9,28.9,26.8,76.3,2,
2025-07-02,서울특별시,동작구,32.4,30.9,28.9,26.8,76.3,1,
2025-07-02,서울특별시,관악구,32.4,30.9,28.9,26.8,76.3,0,
2025-07-02,서울특별시,서초구,32.4,30.9,28.9,26.8,76.3,0,
2025-07-02,서울특별시,강남구,32.4,30.9,28.9,26.8,76.3,1,
2025-07-02,서울특별시,송파구,32.4,30.9,28.9,26.8,76.3,0,
2025-07-02,서울특별시,강동구,32.4,30.9,28.9,26.8,76.3,0,
2025-07-16,서울특별시,종로구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-16,서울특별시,중구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-16,서울특별시,용산구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-16,서울특별시,성동구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-16,서울특별시,광진구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-16,서울특별시,동대문구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-16,서울특별시,중랑구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-16,서울특별시,성북구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-16,서울특별시,강북구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-16,서울특별시,도봉구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-16,서울특별시,노원구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-16,서울특별시,은평구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-16,서울특별시,서대문구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-16,서울특별시,마포구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-16,서울특별시,양천구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-16,서울특별시,강서구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-16,서울특별시,구로구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-16,서울특별시,금천구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-16,서울특별시,영등포구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-16,서울특별시,동작구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-16,서울특별시,관악구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-16,서울특별시,서초구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-16,서울특별시,강남구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-16,서울특별시,송파구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-16,서울특별시,강동구,26.3,24.8,23.5,22.2,90.1,0,
2025-07-21,서울특별시,종로구,37.8,31.6,28.6,25.6,77.4,0,2.3
2025-07-21,서울특별시,중구,37.8,31.6,28.6,25.6,77.4,0,2.3
2025-07-21,서울특별시,용산구,37.8,31.6,28.6,25.6,77.4,0,2.3
2025-07-21,서울특별시,성동구,37.8,31.6,28.6,25.6,77.4,0,2.3
2025-07-21,서울특별시,광진구,37.8,31.6,28.6,25.6,77.4,1,2.3
2025-07-21,서울특별시,동대문구,37.8,31.6,28.6,25.6,77.4,0,2.3
2025-07-21,서울특별시,중랑구,37.8,31.6,28.6,25.6,77.4,0,2.3
2025-07-21,서울특별시,성북구,37.8,31.6,28.6,25.6,77.4,1,2.3
2025-07-21,서울특별시,강북구,37.8,31.6,28.6,25.6,77.4,0,2.3
2025-07-21,서울특별시,도봉구,37.8,31.6,28.6,25.6,77.4,0,2.3
2025-07-21,서울특별시,노원구,37.8,31.6,28.6,25.6,77.4,0,2.3
2025-07-21,서울특별시,은평구,37.8,31.6,28.6,25.6,77.4,0,2.3
2025-07-21,서울특별시,서대문구,37.8,31.6,28.6,25.6,77.4,0,2.3
2025-07-21,서울특별시,마포구,37.8,31.6,28.6,25.6,77.4,0,2.3
2025-07-21,서울특별시,양천구,37.8,31.6,28.6,25.6,77.4,0,2.3
2025-07-21,서울특별시,강서구,37.8,31.6,28.6,25.6,77.4,0,2.3
2025-07-21,서울특별시,구로구,37.8,31.6,28.6,25.6,77.4,0,2.3
2025-07-21,서울특별시,금천구,37.8,31.6,28.6,25.6,77.4,0,2.3
2025-07-21,서울특별시,영등포구,37.8,31.6,28.6,25.6,77.4,0,2.3
2025-07-21,서울특별시,동작구,37.8,31.6,28.6,25.6,77.4,0,2.3
2025-07-21,서울특별시,관악구,37.8,31.6,28.6,25.6,77.4,0,2.3
2025-07-21,서울특별시,서초구,37.8,31.6,28.6,25.6,77.4,0,2.3
2025-07-21,서울특별시,강남구,37.8,31.6,28.6,25.6,77.4,0,2.3
2025-07-21,서울특별시,송파구,37.8,31.6,28.6,25.6,77.4,1,2.3
2025-07-21,서울특별시,강동구,37.8,31.6,28.6,25.6,77.4,0,2.3
2025-07-24,서울특별시,종로구,35.3,34.1,30.0,25.8,68.0,0,
2025-07-24,서울특별시,중구,35.3,34.1,30.0,25.8,68.0,0,
2025-07-24,서울특별시,용산구,35.3,34.1,30.0,25.8,68.0,0,
2025-07-24,서울특별시,성동구,35.3,34.1,30.0,25.8,68.0,0,
2025-07-24,서울특별시,광진구,35.3,34.1,30.0,25.8,68.0,0,
2025-07-24,서울특별시,동대문구,35.3,34.1,30.0,25.8,68.0,0,
2025-07-24,서울특별시,중랑구,35.3,34.1,30.0,25.8,68.0,0,
2025-07-24,서울특별시,성북구,35.3,34.1,30.0,25.8,68.0,0,
2025-07-24,서울특별시,강북구,35.3,34.1,30.0,25.8,68.0,1,
2025-07-24,서울특별시,도봉구,35.3,34.1,30.0,25.8,68.0,0,
2025-07-24,서울특별시,노원구,35.3,34.1,30.0,25.8,68.0,0,
2025-07-24,서울특별시,은평구,35.3,34.1,30.0,25.8,68.0,0,
2025-07-24,서울특별시,서대문구,35.3,34.1,30.0,25.8,68.0,0,
2025-07-24,서울특별시,마포구,35.3,34.1,30.0,25.8,68.0,0,
2025-07-24,서울특별시,양천구,35.3,34.1,30.0,25.8,68.0,0,
2025-07-24,서울특별시,강서구,35.3,34.1,30.0,25.8,68.0,0,
2025-07-24,서울특별시,구로구,35.3,34.1,30.0,25.8,68.0,0,
2025-07-24,서울특별시,금천구,35.3,34.1,30.0,25.8,68.0,0,
2025-07-24,서울특별시,영등포구,35.3,34.1,30.0,25.8,68.0,0,
2025-07-24,서울특별시,동작구,35.3,34.1,30.0,25.8,68.0,0,
2025-07-24,서울특별시,관악구,35.3,34.1,30.0,25.8,68.0,0,
2025-07-24,서울특별시,서초구,35.3,34.1,30.0,25.8,68.0,0,
2025-07-24,서울특별시,강남구,35.3,34.1,30.0,25.8,68.0,0,
