일자,지역,자치구,최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),환자수,풍속(m/s)
2025-07-24,서울특별시,송파구,35.3,34.1,30.0,25.8,68.0,0,
2025-07-24,서울특별시,강동구,35.3,34.1,30.0,25.8,68.0,0,
2025-07-17,서울특별시,종로구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-17,서울특별시,중구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-17,서울특별시,용산구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-17,서울특별시,성동구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-17,서울특별시,광진구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-17,서울특별시,동대문구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-17,서울특별시,중랑구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-17,서울특별시,성북구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-17,서울특별시,강북구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-17,서울특별시,도봉구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-17,서울특별시,노원구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-17,서울특별시,은평구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-17,서울특별시,서대문구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-17,서울특별시,마포구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-17,서울특별시,양천구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-17,서울특별시,강서구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-17,서울특별시,구로구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-17,서울특별시,금천구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-17,서울특별시,영등포구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-17,서울특별시,동작구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-17,서울특별시,관악구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-17,서울특별시,서초구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-17,서울특별시,강남구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-17,서울특별시,송파구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-17,서울특별시,강동구,27.4,24.4,23.2,22.0,94.3,0,
2025-07-27,서울특별시,종로구,38.7,38.0,33.1,28.3,62.4,0,
2025-07-27,서울특별시,중구,38.7,38.0,33.1,28.3,62.4,1,
2025-07-27,서울특별시,용산구,38.7,38.0,33.1,28.3,62.4,0,
2025-07-27,서울특별시,성동구,38.7,38.0,33.1,28.3,62.4,0,
2025-07-27,서울특별시,광진구,38.7,38.0,33.1,28.3,62.4,0,
2025-07-27,서울특별시,동대문구,38.7,38.0,33.1,28.3,62.4,0,
2025-07-27,서울특별시,중랑구,38.7,38.0,33.1,28.3,62.4,1,
2025-07-27,서울특별시,성북구,38.7,38.0,33.1,28.3,62.4,1,
2025-07-27,서울특별시,강북구,38.7,38.0,33.1,28.3,62.4,1,
2025-07-27,서울특별시,도봉구,38.7,38.0,33.1,28.3,62.4,0,
2025-07-27,서울특별시,노원구,38.7,38.0,33.1,28.3,62.4,0,
2025-07-27,서울특별시,은평구,38.7,38.0,33.1,28.3,62.4,1,
2025-07-27,서울특별시,서대문구,38.7,38.0,33.1,28.3,62.4,0,
2025-07-27,서울특별시,마포구,38.7,38.0,33.1,28.3,62.4,0,
2025-07-27,서울특별시,양천구,38.7,38.0,33.1,28.3,62.4,0,
2025-07-27,서울특별시,강서구,38.7,38.0,33.1,28.3,62.4,0,
2025-07-27,서울특별시,구로구,38.7,38.0,33.1,28.3,62.4,0,
2025-07-27,서울특별시,금천구,38.7,38.0,33.1,28.3,62.4,0,
2025-07-27,서울특별시,영등포구,38.7,38.0,33.1,28.3,62.4,0,
2025-07-27,서울특별시,동작구,38.7,38.0,33.1,28.3,62.4,2,
2025-07-27,서울특별시,관악구,38.7,38.0,33.1,28.3,62.4,1,
2025-07-27,서울특별시,서초구,38.7,38.0,33.1,28.3,62.4,0,
2025-07-27,서울특별시,강남구,38.7,38.0,33.1,28.3,62.4,0,
2025-07-27,서울특별시,송파구,38.7,38.0,33.1,28.3,62.4,0,
2025-07-27,서울특별시,강동구,38.7,38.0,33.1,28.3,62.4,1,
2025-07-23,서울특별시,종로구,34.7,33.3,29.4,25.5,70.4,0,
2025-07-23,서울특별시,중구,34.7,33.3,29.4,25.5,70.4,0,
2025-07-23,서울특별시,용산구,34.7,33.3,29.4,25.5,70.4,1,
2025-07-23,서울특별시,성동구,34.7,33.3,29.4,25.5,70.4,0,
2025-07-23,서울특별시,광진구,34.7,33.3,29.4,25.5,70.4,0,
2025-07-23,서울특별시,동대문구,34.7,33.3,29.4,25.5,70.4,0,
2025-07-23,서울특별시,중랑구,34.7,33.3,29.4,25.5,70.4,0,
2025-07-23,서울특별시,성북구,34.7,33.3,29.4,25.5,70.4,0,
2025-07-23,서울특별시,강북구,34.7,33.3,29.4,25.5,70.4,0,
2025-07-23,서울특별시,도봉구,34.7,33.3,29.4,25.5,70.4,2,
2025-07-23,서울특별시,노원구,34.7,33.3,29.4,25.5,70.4,0,
2025-07-23,서울특별시,은평구,34.7,33.3,29.4,25.5,70.4,1,
2025-07-23,서울특별시,서대문구,34.7,33.3,29.4,25.5,70.4,0,
2025-07-23,서울특별시,마포구,34.7,33.3,29.4,25.5,70.4,0,
2025-07-23,서울특별시,양천구,34.7,33.3,29.4,25.5,70.4,0,
2025-07-23,서울특별시,강서구,34.7,33.3,29.4,25.5,70.4,0,
2025-07-23,서울특별시,구로구,34.7,33.3,29.4,25.5,70.4,0,
2025-07-23,서울특별시,금천구,34.7,33.3,29.4,25.5,70.4,0,
2025-07-23,서울특별시,영등포구,34.7,33.3,29.4,25.5,70.4,1,
2025-07-23,서울특별시,동작구,34.7,33.3,29.4,25.5,70.4,0,
2025-07-23,서울특별시,관악구,34.7,33.3,29.4,25.5,70.4,0,
2025-07-23,서울특별시,서초구,34.7,33.3,29.4,25.5,70.4,0,
2025-07-23,서울특별시,강남구,34.7,33.3,29.4,25.5,70.4,0,
2025-07-23,서울특별시,송파구,34.7,33.3,29.4,25.5,70.4,0,
2025-07-23,서울특별시,강동구,34.7,33.3,29.4,25.5,70.4,1,
2025-08-04,서울특별시,종로구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-04,서울특별시,중구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-04,서울특별시,용산구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-04,서울특별시,성동구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-04,서울특별시,광진구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-04,서울특별시,동대문구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-04,서울특별시,중랑구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-04,서울특별시,성북구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-04,서울특별시,강북구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-04,서울특별시,도봉구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-04,서울특별시,노원구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-04,서울특별시,은평구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-04,서울특별시,서대문구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-04,서울특별시,마포구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-04,서울특별시,양천구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-04,서울특별시,강서구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-04,서울특별시,구로구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-04,서울특별시,금천구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-04,서울특별시,영등포구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-04,서울특별시,동작구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-04,서울특별시,관악구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-04,서울특별시,서초구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-04,서울특별시,강남구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-04,서울특별시,송파구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-04,서울특별시,강동구,35.7,33.9,28.8,23.7,75.5,0,
2025-08-03,서울특별시,종로구,33.7,32.5,28.2,24.0,69.0,0,
2025-08-03,서울특별시,중구,33.7,32.5,28.2,24.0,69.0,0,
2025-08-03,서울특별시,용산구,33.7,32.5,28.2,24.0,69.0,0,
2025-08-03,서울특별시,성동구,33.7,32.5,28.2,24.0,69.0,0,
2025-08-03,서울특별시,광진구,33.7,32.5,28.2,24.0,69.0,1,
2025-08-03,서울특별시,동대문구,33.7,32.5,28.2,24.0,69.0,0,
2025-08-03,서울특별시,중랑구,33.7,32.5,28.2,24.0,69.0,0,
2025-08-03,서울특별시,성북구,33.7,32.5,28.2,24.0,69.0,0,
2025-08-03,서울특별시,강북구,33.7,32.5,28.2,24.0,69.0,0,
2025-08-03,서울특별시,도봉구,33.7,32.5,28.2,24.0,69.0,1,
2025-08-03,서울특별시,노원구,33.7,32.5,28.2,24.0,69.0,1,
2025-08-03,서울특별시,은평구,33.7,32.5,28.2,24.0,69.0,0,
2025-08-03,서울특별시,서대문구,33.7,32.5,28.2,24.0,69.0,0,
2025-08-03,서울특별시,마포구,33.7,32.5,28.2,24.0,69.0,0,
2025-08-03,서울특별시,양천구,33.7,32.5,28.2,24.0,69.0,0,
2025-08-03,서울특별시,강서구,33.7,32.5,28.2,24.0,69.0,0,
2025-08-03,서울특별시,구로구,33.7,32.5,28.2,24.0,69.0,0,
2025-08-03,서울특별시,금천구,33.7,32.5,28.2,24.0,69.0,1,
2025-08-03,서울특별시,영등포구,33.7,32.5,28.2,24.0,69.0,0,
2025-08-03,서울특별시,동작구,33.7,32.5,28.2,24.0,69.0,0,
2025-08-03,서울특별시,관악구,33.7,32.5,28.2,24.0,69.0,0,
2025-08-03,서울특별시,서초구,33.7,32.5,28.2,24.0,69.0,0,
2025-08-03,서울특별시,강남구,33.7,32.5,28.2,24.0,69.0,0,
2025-08-03,서울특별시,송파구,33.7,32.5,28.2,24.0,69.0,0,
2025-08-03,서울특별시,강동구,33.7,32.5,28.2,24.0,69.0,0,
2025-08-02,서울특별시,종로구,36.9,36.2,31.8,27.3,62.1,0,
2025-08-02,서울특별시,중구,36.9,36.2,31.8,27.3,62.1,0,
2025-08-02,서울특별시,용산구,36.9,36.2,31.8,27.3,62.1,0,
2025-08-02,서울특별시,성동구,36.9,36.2,31.8,27.3,62.1,0,
2025-08-02,서울특별시,광진구,36.9,36.2,31.8,27.3,62.1,0,
2025-08-02,서울특별시,동대문구,36.9,36.2,31.8,27.3,62.1,0,
2025-08-02,서울특별시,중랑구,36.9,36.2,31.8,27.3,62.1,1,
2025-08-02,서울특별시,성북구,36.9,36.2,31.8,27.3,62.1,0,
2025-08-02,서울특별시,강북구,36.9,36.2,31.8,27.3,62.1,1,
2025-08-02,서울특별시,도봉구,36.9,36.2,31.8,27.3,62.1,0,
2025-08-02,서울특별시,노원구,36.9,36.2,31.8,27.3,62.1,0,
2025-08-02,서울특별시,은평구,36.9,36.2,31.8,27.3,62.1,0,
2025-08-02,서울특별시,서대문구,36.9,36.2,31.8,27.3,62.1,0,
2025-08-02,서울특별시,마포구,36.9,36.2,31.8,27.3,62.1,0,
2025-08-02,서울특별시,양천구,36.9,36.2,31.8,27.3,62.1,0,
2025-08-02,서울특별시,강서구,36.9,36.2,31.8,27.3,62.1,0,
2025-08-02,서울특별시,구로구,36.9,36.2,31.8,27.3,62.1,0,
2025-08-02,서울특별시,금천구,36.9,36.2,31.8,27.3,62.1,0,
2025-08-02,서울특별시,영등포구,36.9,36.2,31.8,27.3,62.1,1,
2025-08-02,서울특별시,동작구,36.9,36.2,31.8,27.3,62.1,0,
2025-08-02,서울특별시,관악구,36.9,36.2,31.8,27.3,62.1,0,
2025-08-02,서울특별시,서초구,36.9,36.2,31.8,27.3,62.1,0,
2025-08-02,서울특별시,강남구,36.9,36.2,31.8,27.3,62.1,0,
2025-08-02,서울특별시,송파구,36.9,36.2,31.8,27.3,62.1,0,
2025-08-02,서울특별시,강동구,36.9,36.2,31.8,27.3,62.1,1,
2025-08-01,서울특별시,종로구,36.2,35.1,31.5,27.8,66.9,0,
2025-08-01,서울특별시,중구,36.2,35.1,31.5,27.8,66.9,1,
2025-08-01,서울특별시,용산구,36.2,35.1,31.5,27.8,66.9,0,
2025-08-01,서울특별시,성동구,36.2,35.1,31.5,27.8,66.9,1,
2025-08-01,서울특별시,광진구,36.2,35.1,31.5,27.8,66.9,0,
2025-08-01,서울특별시,동대문구,36.2,35.1,31.5,27.8,66.9,0,
2025-08-01,서울특별시,중랑구,36.2,35.1,31.5,27.8,66.9,0,
2025-08-01,서울특별시,성북구,36.2,35.1,31.5,27.8,66.9,2,
2025-08-01,서울특별시,강북구,36.2,35.1,31.5,27.8,66.9,0,
2025-08-01,서울특별시,도봉구,36.2,35.1,31.5,27.8,66.9,0,
2025-08-01,서울특별시,노원구,36.2,35.1,31.5,27.8,66.9,0,
2025-08-01,서울특별시,은평구,36.2,35.1,31.5,27.8,66.9,0,
2025-08-01,서울특별시,서대문구,36.2,35.1,31.5,27.8,66.9,0,
2025-08-01,서울특별시,마포구,36.2,35.1,31.5,27.8,66.9,2,
2025-08-01,서울특별시,양천구,36.2,35.1,31.5,27.8,66.9,0,
2025-08-01,서울특별시,강서구,36.2,35.1,31.5,27.8,66.9,0,
2025-08-01,서울특별시,구로구,36.2,35.1,31.5,27.8,66.9,0,
2025-08-01,서울특별시,금천구,36.2,35.1,31.5,27.8,66.9,0,
2025-08-01,서울특별시,영등포구,36.2,35.1,31.5,27.8,66.9,0,
2025-08-01,서울특별시,동작구,36.2,35.1,31.5,27.8,66.9,0,
2025-08-01,서울특별시,관악구,36.2,35.1,31.5,27.8,66.9,2,
2025-08-01,서울특별시,서초구,36.2,35.1,31.5,27.8,66.9,0,
2025-08-01,서울특별시,강남구,36.2,35.1,31.5,27.8,66.9,0,
2025-08-01,서울특별시,송파구,36.2,35.1,31.5,27.8,66.9,0,
2025-08-01,서울특별시,강동구,36.2,35.1,31.5,27.8,66.9,1,
2025-07-31,서울특별시,종로구,35.3,34.6,32.0,29.3,62.3,0,
2025-07-31,서울특별시,중구,35.3,34.6,32.0,29.3,62.3,0,
2025-07-31,서울특별시,용산구,35.3,34.6,32.0,29.3,62.3,0,
2025-07-31,서울특별시,성동구,35.3,34.6,32.0,29.3,62.3,0,
2025-07-31,서울특별시,광진구,35.3,34.6,32.0,29.3,62.3,0,
2025-07-31,서울특별시,동대문구,35.3,34.6,32.0,29.3,62.3,1,
2025-07-31,서울특별시,중랑구,35.3,34.6,32.0,29.3,62.3,0,
2025-07-31,서울특별시,성북구,35.3,34.6,32.0,29.3,62.3,0,
2025-07-31,서울특별시,강북구,35.3,34.6,32.0,29.3,62.3,1,
2025-07-31,서울특별시,도봉구,35.3,34.6,32.0,29.3,62.3,0,
2025-07-31,서울특별시,노원구,35.3,34.6,32.0,29.3,62.3,0,
2025-07-31,서울특별시,은평구,35.3,34.6,32.0,29.3,62.3,0,
2025-07-31,서울특별시,서대문구,35.3,34.6,32.0,29.3,62.3,0,
2025-07-31,서울특별시,마포구,35.3,34.6,32.0,29.3,62.3,1,
2025-07-31,서울특별시,양천구,35.3,34.6,32.0,29.3,62.3,0,
2025-07-31,서울특별시,강서구,35.3,34.6,32.0,29.3,62.3,1,
2025-07-31,서울특별시,구로구,35.3,34.6,32.0,29.3,62.3,2,
2025-07-31,서울특별시,금천구,35.3,34.6,32.0,29.3,62.3,0,
2025-07-31,서울특별시,영등포구,35.3,34.6,32.0,29.3,62.3,0,
2025-07-31,서울특별시,동작구,35.3,34.6,32.0,29.3,62.3,0,
2025-07-31,서울특별시,관악구,35.3,34.6,32.0,29.3,62.3,1,
2025-07-31,서울특별시,서초구,35.3,34.6,32.0,29.3,62.3,0,
2025-07-31,서울특별시,강남구,35.3,34.6,32.0,29.3,62.3,0,
2025-07-31,서울특별시,송파구,35.3,34.6,32.0,29.3,62.3,1,
2025-07-31,서울특별시,강동구,35.3,34.6,32.0,29.3,62.3,0,
2025-08-06,서울특별시,종로구,32.1,29.3,27.6,25.8,89.0,0,
2025-08-06,서울특별시,중구,32.1,29.3,27.6,25.8,89.0,0,
2025-08-06,서울특별시,용산구,32.1,29.3,27.6,25.8,89.0,0,
2025-08-06,서울특별시,성동구,32.1,29.3,27.6,25.8,89.0,0,
2025-08-06,서울특별시,광진구,32.1,29.3,27.6,25.8,89.0,0,
2025-08-06,서울특별시,동대문구,32.1,29.3,27.6,25.8,89.0,0,
2025-08-06,서울특별시,중랑구,32.1,29.3,27.6,25.8,89.0,0,
2025-08-06,서울특별시,성북구,32.1,29.3,27.6,25.8,89.0,0,
2025-08-06,서울특별시,강북구,32.1,29.3,27.6,25.8,89.0,0,
2025-08-06,서울특별시,도봉구,32.1,29.3,27.6,25.8,89.0,0,
2025-08-06,서울특별시,노원구,32.1,29.3,27.6,25.8,89.0,1,
2025-08-06,서울특별시,은평구,32.1,29.3,27.6,25.8,89.0,0,
2025-08-06,서울특별시,서대문구,32.1,29.3,27.6,25.8,89.0,0,
2025-08-06,서울특별시,마포구,32.1,29.3,27.6,25.8,89.0,0,
2025-08-06,서울특별시,양천구,32.1,29.3,27.6,25.8,89.0,0,
2025-08-06,서울특별시,강서구,32.1,29.3,27.6,25.8,89.0,0,
2025-08-06,서울특별시,구로구,32.1,29.3,27.6,25.8,89.0,0,
2025-08-06,서울특별시,금천구,32.1,29.3,27.6,25.8,89.0,0,
2025-08-06,서울특별시,영등포구,32.1,29.3,27.6,25.8,89.0,0,
2025-08-06,서울특별시,동작구,32.1,29.3,27.6,25.8,89.0,0,
2025-08-06,서울특별시,관악구,32.1,29.3,27.6,25.8,89.0,0,
2025-08-06,서울특별시,서초구,32.1,29.3,27.6,25.8,89.0,0,
2025-08-06,서울특별시,강남구,32.1,29.3,27.6,25.8,89.0,0,
2025-08-06,서울특별시,송파구,32.1,29.3,27.6,25.8,89.0,0,
2025-08-06,서울특별시,강동구,32.1,29.3,27.6,25.8,89.0,0,
